uf,mes,acidentes,leitos_estim,atendimentos_estim,obitos
Espírito Santo,Mar/26,192,58,247,8
Espírito Santo,Abr/26,185,59,251,15
Espírito Santo,Mai/26,187,74,266,17
Espírito Santo,Jun/26,119,27,137,11
Goiás,Jan/25,229,64,315,22
Goiás,Fev/25,215,59,234,18
Goiás,Mar/25,286,69,362,23
Goiás,Abr/25,251,75,306,19
Goiás,Mai/25,245,71,292,32
Goiás,Jun/25,270,83,317,29
Goiás,Jul/25,281,88,340,31
Goiás,Ago/25,272,68,312,22
Goiás,Set/25,278,90,328,28
Goiás,Out/25,277,72,331,19
Goiás,Nov/25,265,74,292,17
Goiás,Dez/25,327,111,436,48
Goiás,Jan/26,269,68,347,23
Goiás,Fev/26,259,90,334,30
Goiás,Mar/26,306,95,339,23
Goiás,Abr/26,272,83,318,33
Goiás,Mai/26,255,76,313,36
Goiás,Jun/26,183,54,205,19
Maranhão,Jan/25,65,25,78,13
Maranhão,Fev/25,90,30,110,16
Maranhão,Mar/25,95,49,129,17
Maranhão,Abr/25,86,37,121,13
Maranhão,Mai/25,109,43,137,30
Maranhão,Jun/25,88,32,95,18
Maranhão,Jul/25,115,49,151,27
Maranhão,Ago/25,90,38,109,27
Maranhão,Set/25,116,44,144,24
Maranhão,Out/25,141,34,167,27
Maranhão,Nov/25,117,43,154,34
Maranhão,Dez/25,150,44,181,35
Maranhão,Jan/26,110,33,137,24
Maranhão,Fev/26,95,37,114,14
Maranhão,Mar/26,110,41,122,19
Maranhão,Abr/26,116,37,139,20
Maranhão,Mai/26,95,34,111,12
Maranhão,Jun/26,81,28,95,19
Minas Gerais,Jan/25,751,220,1131,58
Minas Gerais,Fev/25,639,193,803,57
Minas Gerais,Mar/25,802,228,1031,66
Minas Gerais,Abr/25,715,209,933,65
Minas Gerais,Mai/25,742,238,1004,71
Minas Gerais,Jun/25,807,227,1051,72
Minas Gerais,Jul/25,882,294,1181,58
Minas Gerais,Ago/25,847,256,1045,60
Minas Gerais,Set/25,812,287,1098,63
Minas Gerais,Out/25,840,274,1124,65
Minas Gerais,Nov/25,852,253,1089,57
Minas Gerais,Dez/25,881,260,1277,73
Minas Gerais,Jan/26,797,239,1255,67
Minas Gerais,Fev/26,665,200,872,53
Minas Gerais,Mar/26,807,211,999,65
Minas Gerais,Abr/26,718,191,963,84
Minas Gerais,Mai/26,687,227,853,48
Minas Gerais,Jun/26,587,169,746,46
Mato Grosso do Sul,Jan/25,123,38,154,11
Mato Grosso do Sul,Fev/25,108,30,143,12
Mato Grosso do Sul,Mar/25,149,44,168,5
Mato Grosso do Sul,Abr/25,149,37,169,14
Mato Grosso do Sul,Mai/25,129,33,144,19
Mato Grosso do Sul,Jun/25,137,41,158,14
Mato Grosso do Sul,Jul/25,144,46,141,9
Mato Grosso do Sul,Ago/25,152,38,162,15
Mato Grosso do Sul,Set/25,131,40,149,11
Mato Grosso do Sul,Out/25,135,35,165,11
Mato Grosso do Sul,Nov/25,145,51,170,10
Mato Grosso do Sul,Dez/25,152,44,182,19
Mato Grosso do Sul,Jan/26,133,39,162,13
Mato Grosso do Sul,Fev/26,138,35,160,7
Mato Grosso do Sul,Mar/26,136,42,165,11
Mato Grosso do Sul,Abr/26,118,19,138,13
Mato Grosso do Sul,Mai/26,141,44,156,16
Mato Grosso do Sul,Jun/26,98,31,101,9
Mato Grosso,Jan/25,209,57,295,18
Mato Grosso,Fev/25,207,63,240,14
Mato Grosso,Mar/25,224,61,249,15
Mato Grosso,Abr/25,208,62,245,19
Mato Grosso,Mai/25,228,70,242,17
Mato Grosso,Jun/25,218,65,250,23
Mato Grosso,Jul/25,229,65,265,22
Mato Grosso,Ago/25,224,73,268,42
Mato Grosso,Set/25,202,47,211,13
Mato Grosso,Out/25,238,53,284,25
Mato Grosso,Nov/25,228,61,244,23
Mato Grosso,Dez/25,221,56,285,12
Mato Grosso,Jan/26,221,51,254,19
Mato Grosso,Fev/26,230,70,260,20
Mato Grosso,Mar/26,205,51,210,19
Mato Grosso,Abr/26,193,47,224,16
Mato Grosso,Mai/26,193,51,231,13
Mato Grosso,Jun/26,175,45,240,27
Pará,Jan/25,66,17,81,11
Pará,Fev/25,73,30,88,12
Pará,Mar/25,74,29,95,17
Pará,Abr/25,92,40,113,21
Pará,Mai/25,88,30,104,15
Pará,Jun/25,99,27,107,18
Pará,Jul/25,96,44,168,28
Pará,Ago/25,109,34,133,20
Pará,Set/25,108,53,150,21
Pará,Out/25,93,22,107,19
Pará,Nov/25,122,44,151,21
Pará,Dez/25,97,24,118,21
Pará,Jan/26,80,30,112,9
Pará,Fev/26,91,38,108,13
Pará,Mar/26,93,28,91,16
Pará,Abr/26,86,14,81,10
Pará,Mai/26,97,24,114,17
Pará,Jun/26,65,22,88,15
Paraíba,Jan/25,198,75,243,11
Paraíba,Fev/25,153,53,174,7
Paraíba,Mar/25,156,36,179,15
Paraíba,Abr/25,183,56,218,7
Paraíba,Mai/25,170,55,209,17
Paraíba,Jun/25,172,64,254,12
Paraíba,Jul/25,150,54,176,11
Paraíba,Ago/25,174,67,231,17
Paraíba,Set/25,153,59,197,11
Paraíba,Out/25,166,61,189,9
Paraíba,Nov/25,145,42,185,19
Paraíba,Dez/25,158,55,171,6
Paraíba,Jan/26,160,56,190,10
Paraíba,Fev/26,146,71,199,14
Paraíba,Mar/26,150,50,192,9
Paraíba,Abr/26,147,43,173,7
