uf,tipo,acidentes
Minas Gerais,Capotamento,288
Minas Gerais,Colisão com objeto,1143
Minas Gerais,Colisão frontal,852
Minas Gerais,Colisão lateral mesmo sentido,1238
Minas Gerais,Colisão lateral sentido oposto,427
Minas Gerais,Colisão transversal,1328
Minas Gerais,Colisão traseira,2432
Minas Gerais,Derramamento de carga,16
Minas Gerais,Engavetamento,236
Minas Gerais,Eventos atípicos,48
Minas Gerais,Incêndio,416
Minas Gerais,Queda de ocupante de veículo,459
Minas Gerais,Saída de leito carroçável,2689
Minas Gerais,Sinistro pessoal de trânsito,3
Minas Gerais,Tombamento,1536
Mato Grosso do Sul,Atropelamento de Animal,94
Mato Grosso do Sul,Atropelamento de Pedestre,76
Mato Grosso do Sul,Capotamento,30
Mato Grosso do Sul,Colisão com objeto,174
Mato Grosso do Sul,Colisão frontal,138
Mato Grosso do Sul,Colisão lateral mesmo sentido,128
Mato Grosso do Sul,Colisão lateral sentido oposto,135
Mato Grosso do Sul,Colisão transversal,323
Mato Grosso do Sul,Colisão traseira,323
Mato Grosso do Sul,Derramamento de carga,7
Mato Grosso do Sul,Engavetamento,27
Mato Grosso do Sul,Eventos atípicos,31
Mato Grosso do Sul,Incêndio,110
Mato Grosso do Sul,Queda de ocupante de veículo,24
Mato Grosso do Sul,Saída de leito carroçável,517
Mato Grosso do Sul,Tombamento,281
Mato Grosso,Atropelamento de Animal,94
Mato Grosso,Atropelamento de Pedestre,70
Mato Grosso,Capotamento,69
Mato Grosso,Colisão com objeto,142
Mato Grosso,Colisão frontal,270
Mato Grosso,Colisão lateral mesmo sentido,277
Mato Grosso,Colisão lateral sentido oposto,157
Mato Grosso,Colisão transversal,478
Mato Grosso,Colisão traseira,604
Mato Grosso,Derramamento de carga,9
Mato Grosso,Engavetamento,52
Mato Grosso,Eventos atípicos,34
Mato Grosso,Incêndio,123
Mato Grosso,Queda de ocupante de veículo,272
Mato Grosso,Saída de leito carroçável,967
Mato Grosso,Tombamento,235
Pará,Atropelamento de Animal,30
Pará,Atropelamento de Pedestre,42
Pará,Capotamento,21
Pará,Colisão com objeto,73
Pará,Colisão frontal,219
Pará,Colisão lateral mesmo sentido,126
Pará,Colisão lateral sentido oposto,108
Pará,Colisão transversal,223
Pará,Colisão traseira,275
Pará,Derramamento de carga,6
Pará,Engavetamento,17
Pará,Eventos atípicos,12
Pará,Incêndio,34
Pará,Queda de ocupante de veículo,47
Pará,Saída de leito carroçável,222
Pará,Tombamento,174
Paraíba,Atropelamento de Animal,89
Paraíba,Atropelamento de Pedestre,121
Paraíba,Capotamento,26
Paraíba,Colisão com objeto,196
Paraíba,Colisão frontal,135
Paraíba,Colisão lateral mesmo sentido,314
Paraíba,Colisão lateral sentido oposto,41
Paraíba,Colisão transversal,279
Paraíba,Colisão traseira,619
Paraíba,Derramamento de carga,5
Paraíba,Engavetamento,71
Paraíba,Eventos atípicos,10
Paraíba,Incêndio,40
Paraíba,Queda de ocupante de veículo,138
Paraíba,Saída de leito carroçável,332
Paraíba,Tombamento,407
Pernambuco,Atropelamento de Animal,131
Pernambuco,Atropelamento de Pedestre,306
Pernambuco,Capotamento,86
Pernambuco,Colisão com objeto,204
Pernambuco,Colisão frontal,352
Pernambuco,Colisão lateral mesmo sentido,618
Pernambuco,Colisão lateral sentido oposto,111
Pernambuco,Colisão transversal,511
Pernambuco,Colisão traseira,1094
Pernambuco,Derramamento de carga,5
Pernambuco,Engavetamento,75
Pernambuco,Eventos atípicos,16
Pernambuco,Incêndio,103
Pernambuco,Queda de ocupante de veículo,206
Pernambuco,Saída de leito carroçável,430
Pernambuco,Sinistro pessoal de trânsito,1
Pernambuco,Tombamento,292
Piauí,Atropelamento de Animal,69
Piauí,Atropelamento de Pedestre,99
Piauí,Capotamento,23
Piauí,Colisão com objeto,146
Piauí,Colisão frontal,156
Piauí,Colisão lateral mesmo sentido,221
Piauí,Colisão lateral sentido oposto,72
Piauí,Colisão transversal,448
Piauí,Colisão traseira,426
Piauí,Derramamento de carga,5
Piauí,Engavetamento,13
Piauí,Eventos atípicos,9
Piauí,Incêndio,29
Piauí,Queda de ocupante de veículo,42
Piauí,Saída de leito carroçável,210
Piauí,Tombamento,170
Paraná,Atropelamento de Animal,63
Paraná,Atropelamento de Pedestre,437
Paraná,Capotamento,222
Paraná,Colisão com objeto,821
Paraná,Colisão frontal,665
