uf,municipio,acidentes
Paraíba,Sousa,44
Paraíba,Cajazeiras,44
Paraíba,Conde,43
Paraíba,Caapora,43
Paraíba,Cruz Do Espirito Santo,41
Pernambuco,Recife,935
Pernambuco,Petrolina,407
Pernambuco,Jaboatao Dos Guararapes,352
Pernambuco,Caruaru,312
Pernambuco,Igarassu,209
Pernambuco,Abreu E Lima,141
Pernambuco,Garanhuns,133
Pernambuco,Serra Talhada,132
Pernambuco,Gravata,118
Pernambuco,Salgueiro,80
Pernambuco,Paulista,79
Pernambuco,Moreno,78
Pernambuco,Arcoverde,75
Pernambuco,Pombos,69
Pernambuco,Itapissuma,65
Piauí,Teresina,722
Piauí,Parnaiba,172
Piauí,Floriano,156
Piauí,Picos,154
Piauí,Altos,107
Piauí,Campo Maior,71
Piauí,Oeiras,59
Piauí,Piripiri,54
Piauí,Demerval Lobao,38
Piauí,Buriti Dos Lopes,37
Piauí,Bom Jesus,36
Piauí,Monsenhor Gil,31
Piauí,Geminiano,23
Piauí,Amarante,22
Piauí,Lagoa Do Piaui,22
Paraná,Curitiba,982
Paraná,Sao Jose Dos Pinhais,692
Paraná,Cascavel,477
Paraná,Maringa,404
Paraná,Campina Grande Do Sul,369
Paraná,Ponta Grossa,356
Paraná,Foz Do Iguacu,346
Paraná,Paranagua,313
Paraná,Londrina,257
Paraná,Apucarana,251
Paraná,Morretes,234
Paraná,Campo Largo,209
Paraná,Colombo,192
Paraná,Fazenda Rio Grande,186
Paraná,Palmeira,174
Rio de Janeiro,Duque De Caxias,1233
Rio de Janeiro,Nova Iguacu,663
Rio de Janeiro,Rio De Janeiro,647
Rio de Janeiro,Angra Dos Reis,639
Rio de Janeiro,Campos Dos Goytacazes,520
Rio de Janeiro,Sao Goncalo,494
Rio de Janeiro,Seropedica,410
Rio de Janeiro,Petropolis,395
Rio de Janeiro,Mage,336
Rio de Janeiro,Niteroi,328
Rio de Janeiro,Itaborai,327
Rio de Janeiro,Mangaratiba,249
Rio de Janeiro,Sao Joao De Meriti,239
Rio de Janeiro,Barra Mansa,231
Rio de Janeiro,Itaguai,216
Rio Grande do Norte,Natal,440
Rio Grande do Norte,Mossoro,419
Rio Grande do Norte,Parnamirim,294
Rio Grande do Norte,Sao Goncalo Do Amarante,207
Rio Grande do Norte,Macaiba,166
Rio Grande do Norte,Sao Jose De Mipibu,74
Rio Grande do Norte,Ceara-Mirim,62
Rio Grande do Norte,Extremoz,40
Rio Grande do Norte,Acu,36
Rio Grande do Norte,Santa Cruz,32
Rio Grande do Norte,Currais Novos,31
Rio Grande do Norte,Goianinha,30
Rio Grande do Norte,Itaja,26
Rio Grande do Norte,Angicos,23
Rio Grande do Norte,Apodi,23
Rondônia,Porto Velho,526
Rondônia,Vilhena,327
Rondônia,Ji-Parana,260
Rondônia,Jaru,234
Rondônia,Cacoal,153
Rondônia,Ariquemes,149
Rondônia,Pimenta Bueno,146
Rondônia,Candeias Do Jamari,92
Rondônia,Ouro Preto Do Oeste,83
Rondônia,Presidente Medici,77
Rondônia,Colorado Do Oeste,49
Rondônia,Itapua Do Oeste,45
Rondônia,Nova Mamore,30
Rondônia,Guajara-Mirim,29
Rondônia,Cerejeiras,26
Roraima,Boa Vista,63
Roraima,Canta,43
Roraima,Bonfim,28
Roraima,Rorainopolis,22
Roraima,Caracarai,11
Roraima,Mucajai,8
Roraima,Iracema,7
Roraima,Amajari,6
Roraima,Pacaraima,4
Roraima,Normandia,1
Roraima,Sao Joao Da Baliza,1
Rio Grande do Sul,Canoas,380
Rio Grande do Sul,Porto Alegre,366
Rio Grande do Sul,Santa Maria,265
Rio Grande do Sul,Caxias Do Sul,263
Rio Grande do Sul,Pelotas,236
Rio Grande do Sul,Sao Leopoldo,226
Rio Grande do Sul,Vacaria,173
Rio Grande do Sul,Eldorado Do Sul,169
Rio Grande do Sul,Rio Grande,165
Rio Grande do Sul,Bento Goncalves,139
Rio Grande do Sul,Uruguaiana,120
Rio Grande do Sul,Novo Hamburgo,109
Rio Grande do Sul,Sapucaia Do Sul,109
Rio Grande do Sul,Santo Antonio Da Patrulha,108
Rio Grande do Sul,Gravatai,106
Santa Catarina,Sao Jose,1135
Santa Catarina,Palhoca,830
Santa Catarina,Araquari,547
Santa Catarina,Itajai,546
Santa Catarina,Joinville,450
Santa Catarina,Biguacu,430
Santa Catarina,Itapema,399
Santa Catarina,Balneario Camboriu,388
Santa Catarina,Blumenau,300
Santa Catarina,Florianopolis,295
Santa Catarina,Mafra,207
Santa Catarina,Guaramirim,205
Santa Catarina,Tubarao,199
Santa Catarina,Rio Do Sul,195
Santa Catarina,Indaial,195
Sergipe,Nossa Senhora Do Socorro,188
Sergipe,Itabaiana,122
Sergipe,Estancia,88
Sergipe,Sao Cristovao,57
Sergipe,Aracaju,51
Sergipe,Cristinapolis,41
Sergipe,Itaporanga Dajuda,35
Sergipe,Umbauba,29
Sergipe,Areia Branca,28
Sergipe,Maruim,28
Sergipe,Rosario Do Catete,28
Sergipe,Laranjeiras,28
Sergipe,Japaratuba,22
Sergipe,Carira,15
Sergipe,Cedro De Sao Joao,15
São Paulo,Guarulhos,1045
São Paulo,Sao Jose Dos Campos,573
São Paulo,Sao Paulo,454
São Paulo,Ubatuba,379
São Paulo,Sao Jose Do Rio Preto,284
São Paulo,Atibaia,243
São Paulo,Taubate,242
São Paulo,Embu Das Artes,239
São Paulo,Mairipora,238
São Paulo,Miracatu,233
São Paulo,Cajati,217
São Paulo,Jacarei,190
São Paulo,Barra Do Turvo,186
São Paulo,Itapecerica Da Serra,183
São Paulo,Pindamonhangaba,153
Tocantins,Araguaina,180
Tocantins,Palmas,158
Tocantins,Paraiso Do Tocantins,67
Tocantins,Guarai,63
Tocantins,Colinas Do Tocantins,41
Tocantins,Cariri Do Tocantins,36
Tocantins,Gurupi,35
Tocantins,Wanderlandia,29
Tocantins,Alianca Do Tocantins,28
Tocantins,Fortaleza Do Tabocao,27
Tocantins,Nova Olinda,27
Tocantins,Porto Nacional,26
Tocantins,Miranorte,25
Tocantins,Alvorada,22
Tocantins,Formoso Do Araguaia,17
