"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
768959;2026-05-02;"sábado";"16:00:00";"MG";116;415,3;"GOVERNADOR VALADARES";"Ultrapassagem Indevida";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";3;0;2;0;1;0;2;2;-18,89208063;-41,94715804;"SPRF-MG";"DEL06/MG";"UOP01-DEL06-MG"
768962;2026-05-02;"sábado";"15:05:00";"RO";319;64;"PORTO VELHO";"Ausência de reação do condutor";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Interseção de Vias";"Sim";2;0;0;1;1;0;1;2;-8,76497424;-63,88463974;"SPRF-RO";"DEL01-RO";"UOP01-DEL01-RO"
768963;2026-05-02;"sábado";"16:25:00";"SE";101;151;"ESTANCIA";"Acessar a via sem observar a presença dos outros veículos";"Colisão frontal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Interseção de Vias";"Sim";2;0;0;1;1;0;1;2;-11,262207;-37,441375;"SPRF-SE";"DEL02-SE";"UOP01-DEL02-SE"
768964;2026-05-02;"sábado";"15:50:00";"GO";153;300;"RIALMA";"Desrespeitar a preferência no cruzamento";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Sol";"Simples";"Declive;Interseção de Vias;Reta;Em Obras";"Sim";5;0;2;0;3;0;2;2;-15,31040309;-49,57203833;"SPRF-GO";"DEL02/GO";"UOP02-DEL02-GO"
768967;2026-05-02;"sábado";"16:00:00";"MG";365;10,8;"MONTES CLAROS";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta;Declive;Interseção de Vias";"Não";3;0;1;1;1;0;2;2;-16,83434728;-43,94221409;"SPRF-MG";"DEL12/MG";"UOP01-DEL12-MG"
768968;2026-05-02;"sábado";"16:20:00";"PR";277;26;"MORRETES";"Ausência de reação do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Dupla";"Reta";"Não";4;0;4;0;0;0;4;1;-25,53686551;-48,76419067;"SPRF-PR";"DEL01/PR";"UOP05-DEL01-PR"
768969;2026-05-02;"sábado";"16:35:00";"PE";408;66;"PAUDALHO";"Transitar na contramão";"Colisão frontal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Sol";"Dupla";"Ponte";"Sim";3;0;0;1;2;0;1;2;-7,89588;-35,17314;"SPRF-PE";"DEL01/PE";"UOP01-DEL01-PE"
768970;2026-05-02;"sábado";"17:00:00";"RS";101;11,9;"DOM PEDRO DE ALCANTARA";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;1;0;1;0;1;1;-29,3844587;-49,8342992;"SPRF-RS";"DEL03/RS";"UOP02-DEL03-RS"
768971;2026-05-02;"sábado";"17:20:00";"SP";381;60;"MAIRIPORA";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Dupla";"Declive;Curva";"Não";5;0;1;0;4;0;1;2;-23,2902765;-46,5842371;"SPRF-SP";"DEL03/SP";"UOP01-DEL03-SP"
768972;2026-05-02;"sábado";"17:45:00";"PB";230;67;"SAO MIGUEL DE TAIPU";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Céu Claro";"Dupla";"Aclive;Reta";"Não";2;0;0;1;1;0;1;2;-7,184;-35,195;"SPRF-PB";"DEL01-PB";"UOP02-DEL01-PB"
768973;2026-05-02;"sábado";"17:30:00";"ES";101;193,2;"ARACRUZ";"Demais falhas mecânicas ou elétricas";"Tombamento";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Céu Claro";"Simples";"Reta";"Não";2;0;1;0;1;0;1;1;-19,69891887;-40,3051416;"SPRF-ES";"DEL04-ES";"UOP01-DEL04-ES"
768974;2026-05-02;"sábado";"16:00:00";"PR";116;43;"CAMPINA GRANDE DO SUL";"Chuva";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Curva;Aclive";"Não";5;0;1;0;4;0;1;2;-25,18557;-48,88602;"SPRF-PR";"DEL01/PR";"UOP02-DEL01-PR"
768975;2026-05-02;"sábado";"17:55:00";"RJ";116;173;"RIO DE JANEIRO";"Manobra de mudança de faixa";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";3;0;1;0;2;0;1;3;-22,80484375;-43,3452215;"SPRF-RJ";"DEL06/RJ";"UOP01-DEL06-RJ"
768978;2026-05-02;"sábado";"16:30:00";"PR";116;45;"CAMPINA GRANDE DO SUL";"Chuva";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Reta";"Não";2;0;1;0;1;0;1;1;-25,199364;-48,895149;"SPRF-PR";"DEL01/PR";"UOP02-DEL01-PR"
768979;2026-05-02;"sábado";"17:40:00";"ES";101;234;"FUNDAO";"Acessar a via sem observar a presença dos outros veículos";"Colisão traseira";"Com Vítimas Fatais";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";2;1;0;0;1;0;0;2;-19,91371482;-40,40646156;"SPRF-ES";"DEL02-ES";"UOP01-DEL02-ES"
768980;2026-05-02;"sábado";"16:50:00";"SC";280;58;"GUARAMIRIM";"Transitar na contramão";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Dupla";"Rotatória";"Sim";2;0;1;0;1;0;1;2;-26,47396321;-49,0200305;"SPRF-SC";"DEL03/SC";"UOP03-DEL03-SC"
768981;2026-05-02;"sábado";"18:10:00";"TO";153;562,9;"FATIMA";"Reação tardia ou ineficiente do condutor";"Saída de leito carroçável";"Com Vítimas Fatais";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Curva";"Sim";1;1;0;0;0;0;0;1;-10,763453;-48,901785;"SPRF-TO";"DEL01-TO";"UOP01-DEL01-TO"
768982;2026-05-02;"sábado";"16:16:00";"RO";364;215;"PIMENTA BUENO";"Objeto estático sobre o leito carroçável";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Declive";"Não";1;0;1;0;0;0;1;1;-11,55534;-61,291642;"SPRF-RO";"DEL02-RO";"UOP02-DEL02-RO"
768984;2026-05-02;"sábado";"17:00:00";"RO";364;684,2;"CANDEIAS DO JAMARI";"Ausência de reação do condutor";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";1;0;0;1;0;0;1;1;-8,78887187;-63,61619823;"SPRF-RO";"DEL01-RO";"UOP01-DEL01-RO"
768986;2026-05-02;"sábado";"18:25:00";"MG";40;552,1;"NOVA LIMA";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Reta";"Sim";4;0;0;2;2;0;2;3;-20,05940207;-43,97632957;"SPRF-MG";"DEL01/MG";"UOP02-DEL01-MG"
768987;2026-05-02;"sábado";"14:52:00";"PI";230;197;"OEIRAS";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Fatais";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Sim";2;1;0;1;0;0;1;2;-7,009698;-42,127792;"SPRF-PI";"DEL04-PI";"UOP01-DEL04-PI"
768988;2026-05-02;"sábado";"18:30:00";"MG";40;552,7;"NOVA LIMA";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Reta;Declive";"Sim";3;0;2;0;1;0;2;2;-20,063443;-43,978893;"SPRF-MG";"DEL01/MG";"UOP02-DEL01-MG"
768989;2026-05-02;"sábado";"18:30:00";"MG";381;504;"BETIM";"Velocidade Incompatível";"Saída de leito carroçável";"Sem Vítimas";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Reta";"Sim";1;0;0;0;1;0;0;1;-20,032272;-44,238857;"SPRF-MG";"DEL01/MG";"UOP03-DEL01-MG"
768991;2026-05-02;"sábado";"14:10:00";"GO";153;291,9;"RIALMA";"Ultrapassagem Indevida";"Saída de leito carroçável";"Com Vítimas Fatais";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Declive;Reta";"Não";3;1;1;0;0;1;1;2;-15,236898;-49,55583;"SPRF-GO";"DEL02/GO";"UOP02-DEL02-GO"
768992;2026-05-02;"sábado";"17:35:00";"MS";60;352,6;"CAMPO GRANDE";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Anoitecer";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";2;0;1;0;0;1;1;2;-20,453771;-54,749175;"SPRF-MS";"DEL01/MS";"UOP03-DEL01-MS"
768993;2026-05-02;"sábado";"18:20:00";"BA";242;826;"BARREIRAS";"Ingestão de álcool pelo condutor";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Reta;Declive";"Não";2;0;1;0;0;1;1;2;-12,11981438;-45,04101131;"SPRF-BA";"DEL10/BA";"UOP01-DEL10-BA"
768995;2026-05-02;"sábado";"19:10:00";"SP";101;45;"UBATUBA";"Conversão proibida";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Interseção de Vias;Rotatória";"Sim";2;0;1;0;1;0;1;2;-23,42205971;-45,07239509;"SPRF-SP";"DEL06/SP";"UOP01-DEL06-SP"
768996;2026-05-02;"sábado";"18:50:00";"PE";232;181;"BELO JARDIM";"Transitar na contramão";"Colisão frontal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";2;0;1;0;1;0;1;2;-8,3469288;-36,4403393;"SPRF-PE";"DEL03/PE";"UOP02-DEL03-PE"
768999;2026-05-02;"sábado";"19:32:00";"RJ";101;67;"CAMPOS DOS GOYTACAZES";"Acessar a via sem observar a presença dos outros veículos";"Atropelamento de Pedestre";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";3;0;0;1;1;1;1;2;-21,769;-41,35166;"SPRF-RJ";"DEL08/RJ";"UOP02-DEL08-RJ"
769000;2026-05-02;"sábado";"19:05:00";"MG";381;502;"BETIM";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Curva;Declive";"Não";5;0;1;0;4;0;1;2;-20,01654064;-44,22301769;"SPRF-MG";"DEL01/MG";"UOP03-DEL01-MG"
769001;2026-05-02;"sábado";"18:45:00";"PR";376;241,6;"APUCARANA";"Reação tardia ou ineficiente do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Chuva";"Dupla";"Declive;Curva";"Não";1;0;0;1;0;0;1;1;-23,582048;-51,432522;"SPRF-PR";"DEL07/PR";"UOP03-DEL07-PR"
769004;2026-05-02;"sábado";"17:30:00";"SC";163;69,5;"SAO MIGUEL DO OESTE";"Ingestão de álcool pelo condutor";"Saída de leito carroçável";"Sem Vítimas";"Anoitecer";"Crescente";"Chuva";"Dupla";"Reta";"Sim";1;0;0;0;0;1;0;1;-26,73710648;-53,50274054;"SPRF-SC";"DEL07/SC";"UOP03-DEL07-SC"
769005;2026-05-02;"sábado";"13:52:00";"RJ";465;2;"SEROPEDICA";"Manobra de mudança de faixa";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";3;0;1;0;2;0;1;2;-22,71818579;-43,72813672;"SPRF-RJ";"DEL06/RJ";"UOP02-DEL06-RJ"
769006;2026-05-02;"sábado";"17:50:00";"PR";163;290;"MARECHAL CANDIDO RONDON";"Avarias e/ou desgaste excessivo no pneu";"Tombamento";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Chuva";"Simples";"Reta";"Não";1;0;1;0;0;0;1;1;-24,51707905;-54,08152454;"SPRF-PR";"DEL06/PR";"UOP02-DEL06-PR"
769007;2026-05-02;"sábado";"19:30:00";"SC";101;212,6;"PALHOCA";"Reação tardia ou ineficiente do condutor";"Tombamento";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Dupla";"Reta";"Sim";3;0;1;0;2;0;1;3;-27,63465;-48,66309;"SPRF-SC";"DEL01/SC";"UOP02-DEL01-SC"
